Epoka [1/200] | Batch [3381/6813] | Loss: 0.2009
Epoka [1/200] | Batch [3391/6813] | Loss: 0.4300
Epoka [1/200] | Batch [3401/6813] | Loss: 0.3597
Epoka [1/200] | Batch [3411/6813] | Loss: 0.2718
Epoka [1/200] | Batch [3421/6813] | Loss: 0.3123
Epoka [1/200] | Batch [3431/6813] | Loss: 0.2883
Epoka [1/200] | Batch [3441/6813] | Loss: 0.1886
Epoka [1/200] | Batch [3451/6813] | Loss: 0.2089
Epoka [1/200] | Batch [3461/6813] | Loss: 0.1901
Epoka [1/200] | Batch [3471/6813] | Loss: 0.1993
Epoka [1/200] | Batch [3481/6813] | Loss: 0.3327
Epoka [1/200] | Batch [3491/6813] | Loss: 0.1830
Epoka [1/200] | Batch [3501/6813] | Loss: 0.3470
Epoka [1/200] | Batch [3511/6813] | Loss: 0.1368
Epoka [1/200] | Batch [3521/6813] | Loss: 0.2633
Epoka [1/200] | Batch [3531/6813] | Loss: 0.3070
Epoka [1/200] | Batch [3541/6813] | Loss: 0.2998
Epoka [1/200] | Batch [3551/6813] | Loss: 0.2443
Epoka [1/200] | Batch [3561/6813] | Loss: 0.2819
Epoka [1/200] | Batch [3571/6813] | Loss: 0.3840
Epoka [1/200] | Batch [3581/6813] | Loss: 0.2958
Epoka [1/200] | Batch [3591/6813] | Loss: 0.4840
Epoka [1/200] | Batch [3601/6813] | Loss: 0.1923
Epoka [1/200] | Batch [3611/6813] | Loss: 0.2244
Epoka [1/200] | Batch [3621/6813] | Loss: 0.3340
Epoka [1/200] | Batch [3631/6813] | Loss: 0.1895
Epoka [1/200] | Batch [3641/6813] | Loss: 0.2279
Epoka [1/200] | Batch [3651/6813] | Loss: 0.3157
Epoka [1/200] | Batch [3661/6813] | Loss: 0.2887
Epoka [1/200] | Batch [3671/6813] | Loss: 0.2450
Epoka [1/200] | Batch [3681/6813] | Loss: 0.2614
Epoka [1/200] | Batch [3691/6813] | Loss: 0.4031
Epoka [1/200] | Batch [3701/6813] | Loss: 0.3011
Epoka [1/200] | Batch [3711/6813] | Loss: 0.2268
Epoka [1/200] | Batch [3721/6813] | Loss: 0.3311
Epoka [1/200] | Batch [3731/6813] | Loss: 0.4353
Epoka [1/200] | Batch [3741/6813] | Loss: 0.1567
Epoka [1/200] | Batch [3751/6813] | Loss: 0.3433
Epoka [1/200] | Batch [3761/6813] | Loss: 0.1960
Epoka [1/200] | Batch [3771/6813] | Loss: 0.3107
Epoka [1/200] | Batch [3781/6813] | Loss: 0.2670
Epoka [1/200] | Batch [3791/6813] | Loss: 0.2265
Epoka [1/200] | Batch [3801/6813] | Loss: 0.1978
Epoka [1/200] | Batch [3811/6813] | Loss: 0.2563
Epoka [1/200] | Batch [3821/6813] | Loss: 0.3964
Epoka [1/200] | Batch [3831/6813] | Loss: 0.1583
Epoka [1/200] | Batch [3841/6813] | Loss: 0.1172
Epoka [1/200] | Batch [3851/6813] | Loss: 0.2929
Epoka [1/200] | Batch [3861/6813] | Loss: 0.1897
Epoka [1/200] | Batch [3871/6813] | Loss: 0.4057
Epoka [1/200] | Batch [3881/6813] | Loss: 0.2211
Epoka [1/200] | Batch [3891/6813] | Loss: 0.2021
Epoka [1/200] | Batch [3901/6813] | Loss: 0.2847
Epoka [1/200] | Batch [3911/6813] | Loss: 0.2498
Epoka [1/200] | Batch [3921/6813] | Loss: 0.2320
Epoka [1/200] | Batch [3931/6813] | Loss: 0.0772
Epoka [1/200] | Batch [3941/6813] | Loss: 0.2000
Epoka [1/200] | Batch [3951/6813] | Loss: 0.2279
Epoka [1/200] | Batch [3961/6813] | Loss: 0.3346
Epoka [1/200] | Batch [3971/6813] | Loss: 0.4395
Epoka [1/200] | Batch [3981/6813] | Loss: 0.2793
Epoka [1/200] | Batch [3991/6813] | Loss: 0.3039
Epoka [1/200] | Batch [4001/6813] | Loss: 0.1654
Epoka [1/200] | Batch [4011/6813] | Loss: 0.1656
